course_code,course_title,section,grades_count,avg_gpa,std_dev,median_gpa,pct_A,pct_B,pct_C,pct_D,pct_F,pct_P,pct_I,pct_AU,pct_W_AW,letters_count,term,faculty
ENG 103,Engineering Materials II,1L,75,2.86,0.75,3.0,19.7,52.6,23.7,1.3,1.3,0.0,0.0,0.0,1.3,76,SP2025,Annie Ng
ENG 103,Engineering Materials II,1L,75,2.86,0.75,3.0,19.7,52.6,23.7,1.3,1.3,0.0,0.0,0.0,1.3,76,SP2025,Nurxat Nuraje
ENG 103,Engineering Materials II,2L,33,2.81,1.0,3.0,16.7,58.3,5.6,5.6,5.6,0.0,0.0,0.0,8.3,36,SP2025,Annie Ng
ENG 103,Engineering Materials II,2L,33,2.81,1.0,3.0,16.7,58.3,5.6,5.6,5.6,0.0,0.0,0.0,8.3,36,SP2025,Nurxat Nuraje
ENG 201,Applied Probability and Statistics,1L,19,3.16,0.61,3.0,30.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,20,SP2025,Aishuak Konarov
ENG 201,Applied Probability and Statistics,2L,53,2.67,0.9,2.67,16.4,49.1,16.4,14.5,0.0,0.0,0.0,0.0,3.6,55,SP2025,Elnara Kussinova
ENG 201,Applied Probability and Statistics,3L,69,3.65,0.41,3.67,72.5,26.1,1.4,0.0,0.0,0.0,0.0,0.0,0.0,69,SP2025,Yerkin Abdildin
ENG 201,Applied Probability and Statistics,4L,13,3.33,0.38,3.33,25.0,56.2,0.0,0.0,0.0,0.0,0.0,0.0,18.8,16,SP2025,Behrouz Maham
ENG 201,Applied Probability and Statistics,5L,37,3.43,0.62,3.67,59.5,27.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,37,SP2025,Behrouz Maham
ENG 202,Numerical Methods in Engineering,1L,62,2.69,1.01,2.67,25.8,37.1,25.8,6.5,4.8,0.0,0.0,0.0,0.0,62,SP2025,Md. Hazrat Ali
ENG 202,Numerical Methods in Engineering,2L,61,2.98,0.67,3.0,22.6,53.2,19.4,3.2,0.0,0.0,0.0,0.0,1.6,62,SP2025,Abid Nadeem
ENG 202,Numerical Methods in Engineering,3L,29,2.51,0.92,2.67,9.4,40.6,25.0,12.5,3.1,0.0,3.1,0.0,6.2,32,SP2025,Boris Golman
ENG 400,Capstone Project,1L,61,3.48,0.37,3.67,54.1,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,SP2025,Altay Zhakatayev
ENG 400,Capstone Project,1L,61,3.48,0.37,3.67,54.1,45.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61,SP2025,Essam Shehab
ENG 400,Capstone Project,2L,41,3.59,0.39,3.67,63.4,34.1,2.4,0.0,0.0,0.0,0.0,0.0,0.0,41,SP2025,Dhawal Shah
